COU,Country,POL,Pollutant,VAR,Variable,YEA,Unit Code,Unit,Forecast
FRA,France,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,297899.5142933042
FRA,France,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,298201.23325119365
FRA,France,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,298185.8984457986
FRA,France,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,298185.8985669146
FRA,France,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,297563.314689833
DEU,Germany,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,639381.013
DEU,Germany,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,639381.013
DEU,Germany,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,639381.013
DEU,Germany,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,639381.013
DEU,Germany,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,639381.013
GRC,Greece,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,55661.157799668144
GRC,Greece,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,55661.157799668144
GRC,Greece,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,55661.157799668144
GRC,Greece,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,55661.157799668144
GRC,Greece,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,55661.157799668144
HUN,Hungary,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,47056.894261665395
